164647 particles, 77640 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
295 41444 56613 2.689676e+01 1.031605e-01 5 1 1.031605e-01 5 3717920607702797573506990080.000000 0.00e+00
296 45147 69325 2.715559e+01 7.357169e-02 2 1 7.357169e-02 2 3682482493875817859059286016.000000 0.00e+00
297 60386 109123 2.720909e+01 8.782462e-02 3 1 8.782462e-02 3 3675242220613863154888212480.000000 0.00e+00
298 15325 20021 2.788707e+01 4.667225e-02 4 1 4.667225e-02 4 3585891504983107315211173888.000000 0.00e+00
301 31340 40735 2.908765e+01 3.786354e-02 2 1 3.786354e-02 2 3437885751008153509098946560.000000 0.00e+00
303 59554 108002 3.102154e+01 5.462422e-02 2 1 5.462422e-02 2 3223567051141218248131870720.000000 0.00e+00
309 32936 42571 3.333177e+01 9.940372e-02 5 1 9.940372e-02 5 3000140677216258517664530432.000000 0.00e+00
310 60514 109254 3.372769e+01 4.030926e-02 2 1 4.030926e-02 2 2964923038874447779777740800.000000 0.00e+00
311 54082 97767 3.377845e+01 3.417673e-02 2 1 3.417673e-02 2 2960467190949955090165792768.000000 0.00e+00
313 19993 25047 3.491043e+01 7.629613e-02 4 1 7.629613e-02 4 2864473286269422377084387328.000000 0.00e+00
315 57366 105607 3.540962e+01 5.868847e-02 3 1 5.868847e-02 3 2824091149882783323450769408.000000 0.00e+00
323 17023 21727 3.966093e+01 4.928449e-02 3 1 4.928449e-02 3 2521372700935580097611563008.000000 0.00e+00
325 39585 52332 3.979692e+01 4.210813e-02 2 1 4.210813e-02 2 2512757628731299967977652224.000000 0.00e+00
326 4184 5445 3.990256e+01 5.963297e-02 6 1 5.963297e-02 6 2506104994948557355282857984.000000 0.00e+00
327 33661 43299 4.124914e+01 3.198114e-02 2 1 3.198114e-02 2 2424293094685845135160246272.000000 0.00e+00
328 14199 18890 4.146677e+01 4.463223e-02 3 1 4.463223e-02 3 2411569858789373593543245824.000000 0.00e+00
332 14341 19037 4.393196e+01 5.729304e-02 3 1 5.729304e-02 3 2276247200595786937063702528.000000 0.00e+00
333 47197 76416 4.419990e+01 2.836585e-02 2 1 2.836585e-02 2 2262448445732841833749282816.000000 0.00e+00
337 3721 4978 4.623708e+01 4.273608e-02 3 1 4.273608e-02 3 2162766225255235338079567872.000000 0.00e+00
340 70501 135908 4.731618e+01 3.819978e-02 2 1 3.819978e-02 2 2113441697637472252528164864.000000 0.00e+00
341 16904 21603 4.753040e+01 5.499813e-02 4 1 5.499813e-02 4 2103916536867571588455727104.000000 0.00e+00
342 29282 38401 4.871964e+01 2.893975e-02 2 1 2.893975e-02 2 2052560211070553838051131392.000000 0.00e+00
353 34416 44056 5.428327e+01 3.804198e-02 5 1 3.804198e-02 5 1842188228991676883071401984.000000 0.00e+00
355 66451 122799 5.442421e+01 2.943820e-02 2 1 2.943820e-02 2 1837417458252357823994265600.000000 0.00e+00
358 8561 11427 5.544685e+01 3.398241e-02 3 1 3.398241e-02 3 1803529166075474891235131392.000000 0.00e+00
364 18916 23626 6.133769e+01 2.548131e-02 2 1 2.548131e-02 2 1630318961589825071206105088.000000 0.00e+00
365 64800 118195 6.209532e+01 2.251224e-02 2 1 2.251224e-02 2 1610427468520262587507539968.000000 0.00e+00
366 74245 153885 6.262299e+01 2.631597e-02 2 1 2.631597e-02 2 1596857748431736661985984512.000000 0.00e+00
368 30490 39729 6.484893e+01 2.159963e-02 2 1 2.159963e-02 2 1542045535812973869343440896.000000 0.00e+00
377 9801 13397 8.295190e+01 2.407930e-02 2 1 2.407930e-02 2 1205517820540499482464223232.000000 0.00e+00
380 16087 20786 8.578442e+01 1.544032e-02 2 1 1.544032e-02 2 1165712772095462358443360256.000000 0.00e+00
382 24948 31839 9.145893e+01 1.742293e-02 2 1 1.742293e-02 2 1093386925505214538143760384.000000 0.00e+00
385 16068 20766 9.455089e+01 1.197258e-02 2 1 1.197258e-02 2 1057631527680167019408261120.000000 0.00e+00
387 767 1125 9.801131e+01 2.095759e-02 3 1 2.095759e-02 3 1020290373947567132777644032.000000 0.00e+00
388 16910 21613 9.822643e+01 1.742313e-02 3 1 1.742313e-02 3 1018055956731406842209501184.000000 0.00e+00
396 27521 35736 1.121259e+02 1.630128e-02 2 1 1.630128e-02 2 891854992121340674489450496.000000 0.00e+00
398 11553 15674 1.148011e+02 1.990873e-02 3 1 1.990873e-02 3 871071488295349891712942080.000000 0.00e+00
401 15732 20429 1.182179e+02 1.120868e-02 2 1 1.120868e-02 2 845895445770527390505631744.000000 0.00e+00
403 60381 109117 1.228118e+02 1.289394e-02 2 1 1.289394e-02 2 814253819447869691456913408.000000 0.00e+00
410 28993 37998 1.665079e+02 1.185578e-02 2 1 1.185578e-02 2 600572196334264063564447744.000000 0.00e+00
423 8586 11454 5.203256e+02 2.444330e-03 2 1 2.444330e-03 2 192187347791710742382641152.000000 0.00e+00
428 9214 12478 2.710168e-01 1.606832e+01 42 1 1.606832e+01 42 9.653422 0.00e+00
429 42269 59893 6.786765e-01 4.698955e+00 18 1 4.698955e+00 18 6.151046 0.00e+00
430 45479 70427 4.961442e-01 8.244907e+00 17 1 8.244907e+00 17 5.874726 6.96e-41
431 71969 140540 5.759143e+00 2.666136e-01 5 1 2.666136e-01 5 4.952548 8.19e-26
432 69889 133523 1.021138e-01 3.425825e+02 737 1 3.425825e+02 737 4.301578 6.48e-18
433 59757 108231 1.586615e+00 1.530689e+00 4 1 1.530689e+00 4 3.985724 8.52e-15
434 28155 36738 3.051089e+00 7.487477e-01 5 1 7.487477e-01 5 3.850436 1.37e-13
435 23062 29625 2.013931e+00 2.932187e+00 21 1 2.932187e+00 21 3.820613 2.46e-13
436 7602 9781 2.235137e+00 8.372020e-01 4 1 8.372020e-01 4 3.731983 1.35e-12
437 862 1260 6.765965e-01 3.307809e+00 4 1 3.307809e+00 4 3.518326 6.13e-11
438 55458 100736 3.354009e+00 1.891047e+00 21 1 1.891047e+00 21 3.478189 1.20e-10
439 41075 55778 2.279344e-01 1.519703e+02 438 1 1.519703e+02 438 3.347123 9.85e-10
440 76726 163013 5.519906e+00 2.232842e-01 2 1 2.232842e-01 2 3.336990 1.15e-09
441 95 103 2.288640e+00 1.081176e+00 7 1 1.081176e+00 7 3.331998 1.24e-09
442 4938 6224 1.374608e+00 1.809544e+00 11 1 1.809544e+00 11 3.325351 1.38e-09
443 21818 27589 1.675552e-01 1.248919e+02 280 1 1.248919e+02 280 3.294253 2.21e-09
444 4923 6196 2.279959e+00 2.934737e+00 19 1 2.934737e+00 19 3.285888 2.51e-09
